childID,firstName,lastName,nice
1,Lewis,Walker,FALSE
2,Niamh,Howart,TRUE
3,Summer,Henderson,TRUE
4,Aimee,O'Brien,TRUE
5,Mason,Grant,TRUE
6,Erin,Daly,TRUE
7,Aiden,MacLeod,TRUE
8,Olivia,Friend,TRUE
9,Niamh,Wilson,TRUE
10,Lily,MacIain,TRUE
11,Donald,Mitchell,TRUE
12,Lincoln,Brown,TRUE
13,Isabella,Grant,TRUE
14,Alexander,MacLean,FALSE
15,Liam,Howart,TRUE
16,India,Robertson,TRUE
17,Ryan,Mitchell,TRUE
18,Domhnall,Smith,TRUE
19,Aonghas,Osborne,TRUE
20,Calum,Young,TRUE
21,Sophie,Daly,TRUE
22,Robbie,Campbell,FALSE
23,Ella,MacLean,TRUE
24,Ryan,Small,TRUE
25,Innes,Gillies,TRUE
26,Caitlin,Johnson,TRUE
27,Danielle,Paterson,TRUE
28,Kieran,Daly,TRUE
29,Anthony,Macpherson,TRUE
30,Ross,McIntyre,TRUE
31,Summer,Davidson,TRUE
32,Wendy,MacKinnon,TRUE
33,Charlie,Ferguson,TRUE
34,Danielle,MacKechnie,TRUE
35,Ruairidh,MacDonald,TRUE
36,Ealasaid,Ferguson,TRUE
37,Alan,Thomson,TRUE
38,Owen,Young,TRUE
39,Niamh,Wilson,TRUE
40,Micheal,Blake,TRUE
41,Shelly,Smyth,TRUE
42,Domhnall,O'Carroll,TRUE
43,Alexander,Peters,TRUE
44,Sophia,MacKinnon,TRUE
45,Thomas,MacDougall,TRUE
46,Sophia,Friend,TRUE
47,Seumas,Ferguson,TRUE
48,Patrick,Smyth,TRUE
49,Aimee,MacKinnon,FALSE
50,Niamh,Johnson,TRUE
51,Maria,Daly,TRUE
52,James,Brown,TRUE
53,Innes,MacKinnon,FALSE
54,India,MacNeil,TRUE
55,Michael,MacLeod,FALSE
56,John,Thomson,TRUE
57,Alexander,Howart,TRUE
58,Ruairidh,MacIsaac,TRUE
59,Anthony,McIntyre,TRUE
60,Olivia,Monk,TRUE
61,Ian,Daly,TRUE
62,Callum,Docherty,TRUE
63,Amy,Peters,TRUE
64,Ealasaid,Millar,TRUE
65,Lincoln,Blackie,FALSE
66,Alan,Walker,TRUE
67,Amy,Millar,TRUE
68,Charlotte,MacLean,TRUE
69,Lily,Smyth,TRUE
70,Amy,Docherty,TRUE
71,Ciara,Young,TRUE
72,Ealasaid,Simpson,TRUE
73,Ealasaid,McGuire,TRUE
74,Darren,Swinney,TRUE
75,Miyah,O'Brien,TRUE
76,Charlotte,MacNeil,TRUE
77,Dominic,Mitchell,TRUE
78,Michael,Jones,TRUE
79,Ella,MacDonald,TRUE
80,Ross,Monk,TRUE
81,Ruairidh,MacDonald,TRUE
82,Jamie,Howart,TRUE
83,Kieran,MacDougall,TRUE
84,Danieal,Stokes,TRUE
85,Anthony,Henderson,TRUE
86,Robbie,Osborne,TRUE
87,Lacey,Blake,TRUE
88,Mirren,MacNeil,TRUE
89,Michael,MacArthur,FALSE
90,Mairi,MacLean,TRUE
91,Owen,MacNeil,FALSE
92,Danieal,Stokes,TRUE
93,Mairi,Henderson,TRUE
94,Lincoln,Galbraith,TRUE
95,Seumas,Brown,TRUE
96,Ryan,Smyth,TRUE
97,Emily,MacKechnie,TRUE
98,Scott,McGuire,TRUE
99,Lily,MacDonald,TRUE
100,James,MacDougall,TRUE
101,Dominic,Brown,TRUE
102,Liam,Paterson,FALSE
103,Rowan,Robinson,TRUE
104,Mairi,Small,TRUE
105,John,MacLeod,FALSE
106,Domhnall,Stokes,TRUE
107,Charlie,Robinson,TRUE
108,Finlay,Henderson,TRUE
109,Jamie,Smyth,TRUE
110,Robbie,Smith,TRUE
111,Alexander,Robertson,TRUE
112,Aimee,Smyth,TRUE
113,Mairi,Irving,TRUE
114,Ethan,Boyd,FALSE
115,Angus,Howart,TRUE
116,Miyah,Young,TRUE
117,Liam,Campbell,TRUE
118,Scott,Nicholson,TRUE
119,Mirren,MacKechnie,TRUE
120,Aonghas,MacLeod,FALSE
121,Charlie,Nicholson,TRUE
122,Mason,Gillies,TRUE
123,Danielle,MacArthur,TRUE
124,Ella,Young,TRUE
125,Scott,Gillies,TRUE
