childID,firstName,lastName,nice
1,Isabella,Henderson,TRUE
2,Michael,MacArthur,FALSE
3,Ian,Campbell,TRUE
4,Katie,Clark,TRUE
5,Domhnall,Mitchell,TRUE
6,Mairead,MacLeod,TRUE
7,Charlie,Macpherson,TRUE
8,John,MacLeod,FALSE
9,Niamh,Ferguson,TRUE
10,Ethan,Boyd,FALSE
11,Shelly,Davidson,TRUE
12,Ruairidh,Irving,TRUE
13,Isabella,Small,TRUE
14,Lacey,Friend,TRUE
15,Mairi,Campbell,TRUE
16,Liam,O'Brien,TRUE
17,Iain,Blackie,TRUE
18,Miyah,Stewart,TRUE
19,Mirren,Irving,TRUE
20,Erin,MacLeod,TRUE
21,Mairead,MacNeil,TRUE
22,Hudson,Ferguson,TRUE
23,Seumas,MacLeod,TRUE
24,Amy,MacKinnon,TRUE
25,Fay,Irving,TRUE
26,Alanna,MacIsaac,TRUE
27,Seumas,Galbraith,FALSE
28,Oliver,Stokes,TRUE
29,Ella,Stewart,TRUE
30,Daniel,Stewart,TRUE
31,Lily,Gillies,TRUE
32,Iain,Millar,TRUE
33,Donald,Howart,TRUE
34,Aonghas,MacLeod,FALSE
35,Danieal,MacArthur,TRUE
36,Lewis,Robertson,TRUE
37,Wendy,Clark,TRUE
38,Ruairidh,Campbell,TRUE
39,Oliver,Jones,TRUE
40,Owen,MacIain,TRUE
41,Sam,MacLean,TRUE
42,Lincoln,Scott,TRUE
43,Thomas,Smiley,TRUE
44,Owen,Beaton,TRUE
45,Niamh,MacKinnon,TRUE
46,Wendy,Wilson,TRUE
47,Copper,Campbell,TRUE
48,Rachel,Boyd,TRUE
49,Innes,MacKinnon,FALSE
50,Danielle,MacLean,TRUE
51,Alanna,Clark,TRUE
52,Emily,Blackie,TRUE
53,Lewis,Irving,FALSE
54,Andrew,Gillies,TRUE
55,Angus,Blackie,TRUE
56,Rachel,MacLeod,TRUE
57,Caralisa,Manford,TRUE
58,Sophie,Stokes,TRUE
59,Niamh,O'Brien,TRUE
60,Ian,Smiley,TRUE
61,Niamh,Paterson,TRUE
62,Danielle,Boyd,TRUE
63,Calum,Walker,TRUE
64,Iain,Mitchell,TRUE
65,Donald,Robinson,TRUE
66,Michael,Johnson,TRUE
67,Mirren,Blake,TRUE
68,Iain Ruairidh,Kearney,TRUE
69,Micheal,O'Carroll,FALSE
70,Fay,Gillies,TRUE
71,Sophie,Allan,TRUE
72,Mairead,Ferguson,TRUE
73,Thomas,O'Carroll,TRUE
74,Micheal,Brown,TRUE
75,Hudson,Johnson,TRUE
76,Ealasaid,Kearney,TRUE
77,Shelly,Grant,TRUE
78,Domhnall,Henderson,TRUE
79,Jamie,Blackie,TRUE
80,Innes,Simpson,TRUE
81,Innes,Simpson,TRUE
82,Darren,Docherty,TRUE
83,Zoey,Campbell,TRUE
84,Ciara,Davidson,TRUE
85,Mairi,MacLeod,TRUE
86,Simon,MacDonald,TRUE
87,Amy,Henderson,TRUE
88,Oliver,Smyth,TRUE
89,Ealasaid,Smith,TRUE
90,Ethan,Henderson,TRUE
91,Wendy,Grant,TRUE
92,Aonghas,Friend,TRUE
93,Amy,McIntyre,TRUE
94,Alexander,Wilson,TRUE
95,Katie,Osborne,TRUE
96,Iain,MacLean,TRUE
97,Callum,MacArthur,TRUE
98,Mason,Friend,TRUE
99,Danieal,Ferguson,TRUE
100,Amy,Simpson,TRUE
101,Maddison,Friend,TRUE
102,Angus,Monk,TRUE
103,Iain,Wilson,TRUE
104,Holly,Stewart,TRUE
105,Calum,Thomson,TRUE
106,Iain Ruiradh,MacLean,FALSE
107,Lacey,Friend,TRUE
108,Fay,Stokes,TRUE
109,Owen,MacNeil,FALSE
110,Callum,Smiley,TRUE
111,Emily,MacArthur,TRUE
112,Seumas,MacIain,TRUE
113,Ian,Nicholson,TRUE
114,Laura,Nicholson,TRUE
115,Emily,Nicholson,TRUE
116,Seonaidh,Macpherson,TRUE
117,Kieran,Grant,TRUE
118,Ian,Friend,FALSE
119,Lincoln,McIntyre,TRUE
120,Katie,Robertson,TRUE
121,Isabella,Kearney,TRUE
122,Domhnall,MacArthur,TRUE
123,Rowan,Stewart,TRUE
124,Eilidh,Macpherson,TRUE
125,Caitlin,Osborne,TRUE
126,Mairead,Boyd,TRUE
127,Simon,Millar,TRUE
128,Erin,Manford,TRUE
129,Olivia,McGuire,TRUE
130,Aimee,MacKinnon,FALSE
131,Michael,MacLeod,FALSE
132,Ryan,Young,TRUE
133,Ian,MacKechnie,TRUE
134,Hudson,Walker,TRUE
135,Isabella,Osborne,TRUE
136,Sam,Blackie,TRUE
137,James,Robinson,TRUE
138,Summer,Nicholson,TRUE
