pupil_id,first_name,last_name,dob,age,enrolled
1,Sallie,Small,2000-12-02,22,0
3,Candida,Mitchell,2000-10-10,22,0
4,Tobey,Small,2000-04-30,22,0
5,Chaim,Young,2000-01-18,22,0
6,Merill,MacNeil,2000-10-28,22,0
7,Sully,Jones,2000-11-19,22,0
8,Amalia,O'Carroll,2000-09-06,22,0
9,Estella,Grant,2000-10-22,22,0
10,Maggee,MacLean,2000-12-30,22,0
11,Pattin,O'Carroll,2000-07-17,22,0
12,Myrna,MacNeil,2000-03-17,22,0
13,Doralynne,Wilson,2000-08-30,22,0
14,Perla,Millar,2000-01-17,22,0
15,Dee,Davidson,2000-07-09,22,0
16,Sergeant,Campbell,2000-01-22,22,0
17,Brody,Mitchell,2000-08-16,22,0
18,Robbin,Ferguson,2000-11-14,22,0
19,Fernanda,Ferguson,2000-08-22,22,0
20,Caressa,O'Carroll,2000-12-06,22,0
21,Agosto,Grant,2000-11-18,22,0
22,Brooks,Smith,2000-03-30,22,0
23,Marja,Young,2000-08-17,22,0
24,Libby,Thomson,2000-07-27,22,0
25,Mariejeanne,MacLeod,2000-10-13,22,0
26,Vikki,Millar,2000-11-08,22,0
27,Colline,Davidson,2000-03-12,22,0
28,Cordelia,McGuire,2000-10-23,22,0
29,Austine,Paterson,2000-02-27,22,0
30,Karoline,Smith,2000-09-19,22,0
31,Harwell,Davidson,2000-12-27,22,0
32,Mariya,Jones,2001-07-09,21,0
33,Ikey,Docherty,2001-11-27,21,0
34,Yolane,Young,2001-11-01,21,0
35,Brandi,Mitchell,2001-03-24,21,0
36,Harlie,Paterson,2001-11-07,21,0
37,Rickert,Smiley,2001-04-06,21,0
38,Erie,Henderson,2001-07-23,21,0
39,Penelopa,Smyth,2001-09-03,21,0
40,Kirstyn,Wilson,2001-06-19,21,0
41,Chic,Ferguson,2001-10-28,21,0
42,Doll,McGuire,2001-12-08,21,0
43,Corny,Davidson,2001-07-11,21,0
44,Cully,Millar,2001-10-17,21,0
45,Meaghan,Millar,2001-10-11,21,0
46,Myriam,Thomson,2001-02-08,21,0
47,Faunie,MacLeod,2001-09-14,21,0
48,Nancee,Docherty,2001-02-08,21,0
49,Dulcine,Wilson,2001-10-24,21,0
50,Evonne,Ferguson,2001-02-01,21,0
51,Skip,Stewart,2001-10-16,21,0
52,Lyndsie,Grant,2001-03-28,21,0
53,Lorette,Wilson,2001-07-02,21,0
54,Marilee,MacLeod,2001-07-18,21,0
55,Grantley,Paterson,2001-05-24,21,0
56,Amabelle,O'Carroll,2001-06-27,21,0
57,Madison,Mitchell,2001-09-25,21,0
58,Georgianne,Stewart,2001-12-05,21,0
59,Sergeant,Simpson,2001-04-07,21,0
60,Jeannine,Docherty,2001-04-29,21,0
61,Smith,Ferguson,2001-02-19,21,0
62,Lizabeth,Campbell,2001-12-11,21,0
63,Fidel,MacDonald,2001-11-13,21,0
64,Ara,Brown,2001-05-08,21,0
65,Vidovic,Brown,2001-11-03,21,0
66,Florenza,Smyth,2001-11-04,21,0
67,Gifford,Clark,2001-06-18,21,0
68,Gerrie,Grant,2001-04-20,21,0
69,Dionisio,Henderson,2001-09-22,21,0
70,Martainn,Grant,2001-11-01,21,0
71,Merridie,Docherty,2002-09-16,20,0
72,Betti,Small,2002-03-09,20,0
73,Shaun,Davidson,2003-01-06,20,0
74,Marci,Millar,2002-02-20,20,0
75,De,Wilson,2002-12-17,20,0
76,Thatch,Robertson,2002-10-24,20,0
77,Alvinia,Docherty,2002-03-19,20,0
78,Fifi,Paterson,2002-04-29,20,0
79,Renelle,MacLeod,2002-02-11,20,0
80,Tressa,Henderson,2002-01-14,20,0
81,Ruby,Smith,2002-08-23,20,0
82,Cobbie,Wilson,2002-11-06,20,0
83,Laurella,Smiley,2002-04-19,20,0
84,Chas,Smith,2002-08-21,20,0
85,Pattin,O'Carroll,2002-04-14,20,0
86,Kurt,MacNeil,2002-09-11,20,0
87,Randi,Thomson,2002-08-22,20,0
88,Charyl,Young,2002-08-15,20,0
89,Almeda,MacDonald,2002-03-30,20,0
90,Aguste,Davidson,2002-05-06,20,0
91,Link,MacKinnon,2002-04-02,20,0
92,Bond,MacLean,2002-09-16,20,0
93,Sari,MacLeod,2002-12-24,20,0
94,Derek,MacLean,2002-09-28,20,0
95,Martita,Young,2002-07-09,20,0
96,Roseline,Small,2002-01-15,20,0
97,Lazarus,O'Carroll,2002-02-04,20,0
98,Sada,MacNeil,2002-12-08,20,0
99,Timotheus,Grant,2002-03-20,20,0
100,Biddie,Clark,2002-12-06,20,0
101,Ede,MacKinnon,2002-06-05,20,0
102,Nealon,Wilson,2003-06-18,19,0
103,Clark,Thomson,2003-02-02,19,0
104,Alisun,Smiley,2003-10-11,19,0
105,Kristin,Jones,2003-02-22,19,0
106,Barnabe,Davidson,2003-09-30,19,0
107,Mireille,MacLeod,2003-03-27,19,0
108,Cyb,Simpson,2003-05-21,19,0
109,Barthel,MacKinnon,2003-07-08,19,0
110,Reuben,Wilson,2003-10-22,19,0
111,Lucky,Paterson,2003-04-28,19,0
112,Phineas,Brown,2003-03-22,19,0
113,Peggie,Simpson,2003-11-29,19,0
114,Herb,Grant,2003-05-04,19,0
115,Verge,Docherty,2003-08-20,19,0
116,Matteo,Ferguson,2003-12-16,19,0
117,Aldridge,Campbell,2003-11-11,19,0
118,Dale,Millar,2003-04-01,19,0
119,Jacquelynn,MacNeil,2003-09-01,19,0
120,Minny,Small,2003-04-05,19,0
121,Sheila,O'Carroll,2003-06-14,19,0
122,Penelopa,MacKinnon,2003-09-11,19,0
123,Rudolf,MacLean,2003-01-18,19,0
124,Pierson,Docherty,2003-02-08,19,0
125,Ciro,Paterson,2003-11-01,19,0
126,Temp,Paterson,2003-05-08,19,0
127,Thaddus,Stewart,2003-10-13,19,0
128,Benny,Smyth,2003-02-07,19,0
129,Gilles,Brown,2003-02-21,19,0
130,Giulia,O'Carroll,2003-01-07,19,0
131,Mendie,Henderson,2003-11-13,19,0
132,Gannie,Smiley,2003-06-14,19,0
133,Cecil,O'Carroll,2003-03-11,19,0
134,Tome,Ferguson,2003-09-21,19,0
135,Friederike,Smyth,2003-04-18,19,0
136,Ingeborg,McGuire,2003-12-01,19,0
137,Clarke,Mitchell,2003-08-18,19,0
138,Nelly,Smiley,2003-02-10,19,0
139,Linea,Wilson,2003-09-02,19,0
140,Andros,Ferguson,2003-03-20,19,0
141,Imojean,Stewart,2003-10-06,19,0
142,Rania,MacLean,2003-09-22,19,0
143,Waly,Millar,2003-01-14,19,0
144,Ivonne,Wilson,2003-05-27,19,0
145,Mala,Young,2004-06-16,18,1
146,Gaile,Campbell,2005-01-04,18,1
147,Chas,Davidson,2004-08-10,18,1
148,Barny,McGuire,2004-08-07,18,1
149,Aubry,Paterson,2004-09-05,18,1
150,Abramo,MacNeil,2004-01-29,18,1
151,Halley,Robertson,2004-10-20,18,1
152,Pooh,Henderson,2004-05-14,18,1
153,Siobhan,MacNeil,2004-06-24,18,1
154,Sax,Small,2004-06-12,18,1
155,Gwyn,Young,2004-06-02,18,1
156,Amby,Small,2004-08-17,18,1
157,Morley,Simpson,2004-12-15,18,1
158,Brooke,Ferguson,2004-03-03,18,1
159,Ted,Smyth,2004-11-08,18,1
160,Farly,Small,2004-08-13,18,1
161,Rodi,Paterson,2004-07-17,18,1
162,Kristopher,Davidson,2004-04-13,18,1
163,Dawna,Thomson,2004-12-27,18,1
